Línea seleccionada,Documento medición,Punto de medida,Fecha,Hora medición,ValMed/Val.total cont.,UnidadCaracterística,Creado por,Posición de medida,Diferencia val. cont.,Equipo,Texto,Texto
,129473018,56105,01/12/2022,05:00:59 a. m.,23844.35,h,MX_OPER_PM,HORAS OPERADAS GPS,9.5,16001299,CR3725 CAMION REVOLVEDOR,
,129473019,56117,01/12/2022,05:00:59 a. m.,27464.75,h,MX_OPER_PM,HORAS OPERADAS GPS,12.5,16001311,CR3796 CAMION REVOLVEDOR,
,129473020,56119,01/12/2022,05:00:59 a. m.,32236.65,h,MX_OPER_PM,HORAS OPERADAS GPS,0.3,16001313,CR3836 CAMION REVOLVEDOR,
,129473023,56393,01/12/2022,05:00:59 a. m.,26458.45,h,MX_OPER_PM,HORAS OPERADAS GPS,8.4,16001465,CR3729 CAMION REVOLVEDOR,
,129473024,56742,01/12/2022,05:00:59 a. m.,25309.2,h,MX_OPER_PM,HORAS OPERADAS GPS,12.75,16001560,CR2818 CAMION REVOLVEDOR,
,129473025,56824,01/12/2022,05:01:00 a. m.,39763.15,h,MX_OPER_PM,HORAS OPERADAS GPS,11.3,16001619,CR3428 CAMION REVOLVEDOR,
,129473028,56901,01/12/2022,05:01:00 a. m.,35610.8,h,MX_OPER_PM,HORAS OPERADAS GPS,1.45,16001696,CR3915 CAMION REVOLVEDOR,
,129473029,57266,01/12/2022,05:01:00 a. m.,34410.8,h,MX_OPER_PM,HORAS OPERADAS GPS,4.4,16001825,CR2883 CAMION REVOLVEDOR,
,129473030,57382,01/12/2022,05:01:00 a. m.,35441.9,h,MX_OPER_PM,HORAS OPERADAS GPS,11.25,16001890,CR3567 CAMION REVOLVEDOR,
,129473032,57463,01/12/2022,05:01:00 a. m.,28617.2,h,MX_OPER_PM,HORAS OPERADAS GPS,7.9,16001971,CR3981 CAMION REVOLVEDOR,
,129473033,57842,01/12/2022,05:01:00 a. m.,34568.8,h,MX_OPER_PM,HORAS OPERADAS GPS,2.1,16002069,CR2355 CAMION REVOLVEDOR,
,129473034,57972,01/12/2022,05:01:00 a. m.,33636.7,h,MX_OPER_PM,HORAS OPERADAS GPS,0,16002089,CR2785 CAMION REVOLVEDOR,
,129471101,93867,01/12/2022,05:01:00 a. m.,156318,l,DRIVERAGRC,CONSUMO_OPH,170,11007973,,
,129471102,107121,01/12/2022,05:01:00 a. m.,17410.6,h,DRIVERAGRC,TIEMPO,13.7,11007973,CR4089 CAMION REVOLVEDOR,
,129473036,57974,01/12/2022,05:01:01 a. m.,38616.6,h,MX_OPER_PM,HORAS OPERADAS GPS,0.4,16002091,CR2790 CAMION REVOLVEDOR,
,129473039,58008,01/12/2022,05:01:01 a. m.,12674.2,h,MX_OPER_PM,HORAS OPERADAS GPS,10.4,16002125,CR2877 CAMION REVOLVEDOR,
,129473041,58070,01/12/2022,05:01:01 a. m.,38200.9,h,MX_OPER_PM,HORAS OPERADAS GPS,11.4,16002133,CR3186 CAMION REVOLVEDOR,
,129473042,58084,01/12/2022,05:01:01 a. m.,29221.45,h,MX_OPER_PM,HORAS OPERADAS GPS,5.9,16002147,CR3358 CAMION REVOLVEDOR,
,129473044,58109,01/12/2022,05:01:01 a. m.,36225.2,h,MX_OPER_PM,HORAS OPERADAS GPS,4.45,16002172,CR3434 CAMION REVOLVEDOR,
,129473045,58134,01/12/2022,05:01:01 a. m.,34339.45,h,MX_OPER_PM,HORAS OPERADAS GPS,11.55,16002197,CR3590 CAMION REVOLVEDOR,
,129473046,58141,01/12/2022,05:01:01 a. m.,26677.65,h,MX_OPER_PM,HORAS OPERADAS GPS,9.75,16002204,CR3623 CAMION REVOLVEDOR,
,129473048,58160,01/12/2022,05:01:02 a. m.,27530.35,h,MX_OPER_PM,HORAS OPERADAS GPS,3.8,16002223,CR3683 CAMION REVOLVEDOR,
,129473049,58161,01/12/2022,05:01:02 a. m.,28279.1,h,MX_OPER_PM,HORAS OPERADAS GPS,1.45,16002224,CR3685 CAMION REVOLVEDOR,
,129473050,58171,01/12/2022,05:01:02 a. m.,31802.75,h,MX_OPER_PM,HORAS OPERADAS GPS,9.9,16002234,CR3761 CAMION REVOLVEDOR,
,129473054,58207,01/12/2022,05:01:02 a. m.,28785.9,h,MX_OPER_PM,HORAS OPERADAS GPS,1.5,16002270,CR3962 CAMION REVOLVEDOR,
,129473058,111495,01/12/2022,05:01:03 a. m.,13879.1,h,MX_OPER_PM,HORAS OPERADAS GPS,4.2,16007124,CR4267 CAMION REVOLVEDOR,
,129473059,111618,01/12/2022,05:01:03 a. m.,14228.1,h,MX_OPER_PM,HORAS OPERADAS GPS,6.5,16007140,CR4283 CAMION REVOLVEDOR,
,129473061,116534,01/12/2022,05:01:03 a. m.,9260,h,MX_OPER_PM,HORAS OPERADAS GPS,9.15,16007951,CR4493 CAMION REVOLVEDOR,
,129473062,118840,01/12/2022,05:01:03 a. m.,8262,h,MX_OPER_PM,HORAS OPERADAS GPS,7.05,16008564,CR4746 CAMION REVOLVEDOR,
,129473063,118961,01/12/2022,05:01:03 a. m.,7312.1,h,MX_OPER_PM,HORAS OPERADAS GPS,7.75,16008604,CR4811 CAMION REVOLVEDOR,
,129473064,119058,01/12/2022,05:01:03 a. m.,7602.05,h,MX_OPER_PM,HORAS OPERADAS GPS,7.65,16008636,CR4832 CAMION REVOLVEDOR,
,129473065,119071,01/12/2022,05:01:04 a. m.,6817.8,h,MX_OPER_PM,HORAS OPERADAS GPS,4.65,16008638,CR4833 CAMION REVOLVEDOR,
,129473066,119074,01/12/2022,05:01:04 a. m.,8301.35,h,MX_OPER_PM,HORAS OPERADAS GPS,16.15,16008640,CR4834 CAMION REVOLVEDOR,
,129473067,119597,01/12/2022,05:01:04 a. m.,9530.8,h,MX_OPER_PM,HORAS OPERADAS GPS,10.05,16008764,CR4913 CAMION REVOLVEDOR,
,129473068,119621,01/12/2022,05:01:04 a. m.,9392.3,h,MX_OPER_PM,HORAS OPERADAS GPS,11.65,16008772,CR4921 CAMION REVOLVEDOR,
,129473069,119800,01/12/2022,05:01:04 a. m.,8600.35,h,MX_OPER_PM,HORAS OPERADAS GPS,16.15,16008791,CR4983 CAMION REVOLVEDOR,
,129473070,119859,01/12/2022,05:01:04 a. m.,7707.7,h,MX_OPER_PM,HORAS OPERADAS GPS,11.4,16008811,CR4942 CAMION REVOLVEDOR,
,129473071,119954,01/12/2022,05:01:04 a. m.,8894.7,h,MX_OPER_PM,HORAS OPERADAS GPS,6.2,16008837,CR4964 CAMION REVOLVEDOR,
,129473072,120206,01/12/2022,05:01:04 a. m.,9635,h,MX_OPER_PM,HORAS OPERADAS GPS,8.35,16008921,CR5063 CAMION REVOLVEDOR,
,129473073,120242,01/12/2022,05:01:04 a. m.,10959.65,h,MX_OPER_PM,HORAS OPERADAS GPS,13.85,16008933,CR5075 CAMION REVOLVEDOR,
,129473074,120365,01/12/2022,05:01:04 a. m.,10595.1,h,MX_OPER_PM,HORAS OPERADAS GPS,5.65,16008974,CR5116 CAMION REVOLVEDOR,
,129473075,120398,01/12/2022,05:01:04 a. m.,9003,h,MX_OPER_PM,HORAS OPERADAS GPS,7.7,16008985,CR5127 CAMION REVOLVEDOR,
,129472933,53530,01/12/2022,05:32:10 a. m.,237377,l,VACUEVAS,CONSUMO_OPH,265,16001954,CR3940 CAMION REVOLVEDOR,
,129472934,106893,01/12/2022,05:32:10 a. m.,36013.15,h,VACUEVAS,TIEMPO,17.9,16001954,CR3940 CAMION REVOLVEDOR,
,129472935,52886,01/12/2022,05:33:47 a. m.,211103,l,VACUEVAS,CONSUMO_OPH,265,16001597,CR3282 CAMION REVOLVEDOR,
,129472936,108120,01/12/2022,05:33:47 a. m.,31116,h,VACUEVAS,TIEMPO,18,16001597,CR3282 CAMION REVOLVEDOR,
,129472937,94095,01/12/2022,05:39:45 a. m.,212058,l,VACUEVAS,CONSUMO_OPH,228,11008071,CR2119 CAMION REVOLVEDOR,
,129472938,105778,01/12/2022,05:39:45 a. m.,22665.9,h,VACUEVAS,TIEMPO,14.7,11008071,CR4142 CAMION REVOLVEDOR,
,129470832,52928,01/12/2022,05:40:00 a. m.,225376,l,DRIVERAGRC,CONSUMO_OPH,143,16001639,CR3622 CAMION REVOLVEDOR,
,129470833,101515,01/12/2022,05:40:00 a. m.,35115.6,h,DRIVERAGRC,TIEMPO,13,16001639,CR3622 CAMION REVOLVEDOR,
,129470834,93938,01/12/2022,05:49:00 a. m.,136584,l,DRIVERAGRC,CONSUMO_OPH,208,11008021,,
,129470835,106782,01/12/2022,05:49:00 a. m.,14528,h,DRIVERAGRC,TIEMPO,17,11008021,CR4117 CAMION REVOLVEDOR,
,129472939,52990,01/12/2022,05:56:27 a. m.,210198,l,VACUEVAS,CONSUMO_OPH,223,16001701,CR3948 CAMION REVOLVEDOR,
,129473150,107289,01/12/2022,05:56:27 a. m.,27177.3,h,VACUEVAS,TIEMPO,15.9,16001701,CR3948 CAMION REVOLVEDOR,
,129473151,93901,01/12/2022,05:57:42 a. m.,224767,l,VACUEVAS,CONSUMO_OPH,275,11007980,CR4101 CAMION REVOLVEDOR,
,129473152,107280,01/12/2022,05:57:42 a. m.,18964,h,VACUEVAS,TIEMPO,21.6,11007980,CR4101 CAMION REVOLVEDOR,
,129473153,54064,01/12/2022,06:00:34 a. m.,234277,l,VACUEVAS,CONSUMO_OPH,182,16002097,CR2796 CAMION REVOLVEDOR,
,129473154,107764,01/12/2022,06:00:34 a. m.,36232.5,h,VACUEVAS,TIEMPO,17,16002097,CR2796 CAMION REVOLVEDOR,
,129471062,94179,01/12/2022,06:30:00 a. m.,185277,l,DRIVERAGRC,CONSUMO_OPH,156,11008107,CR2119 CAMION REVOLVEDOR,
,129471063,105418,01/12/2022,06:30:00 a. m.,18816.1,h,DRIVERAGRC,TIEMPO,11,11008107,CR4175 CAMION REVOLVEDOR,
,129470836,51319,01/12/2022,06:40:00 a. m.,180715,l,DRIVERAGRC,CONSUMO_OPH,161,11001509,CR3007 CAMION REVOLVEDOR,
,129470837,105266,01/12/2022,06:40:00 a. m.,26169,h,DRIVERAGRC,TIEMPO,10,11001509,CR3007 CAMION REVOLVEDOR,
,129469575,128836,01/12/2022,07:00:00 a. m.,4828,l,NJIMENEZL,CONSUMO_OPH,136,9000593,CF9401 CARGADOR FRONTAL,
,129469576,128837,01/12/2022,07:00:00 a. m.,583.7,h,NJIMENEZL,TIEMPO,17.6,9000593,CF9401 CARGADOR FRONTAL,
,129471060,111494,01/12/2022,07:10:00 a. m.,109591,l,CAMARTINZR,CONSUMO_OPH,273,16007124,CR4267 CAMION REVOLVEDOR,
,129471061,111496,01/12/2022,07:10:00 a. m.,14116,h,CAMARTINZR,TIEMPO,20,16007124,CR4267 CAMION REVOLVEDOR,
,129508259,51394,01/12/2022,07:11:00 a. m.,225397,l,JARAMOSC,CONSUMO_OPH,100,16000920,CR3472 CAMION REVOLVEDOR,
,129508370,105186,01/12/2022,07:11:00 a. m.,38185.6,h,JARAMOSC,TIEMPO,10,16000920,CR3472 CAMION REVOLVEDOR,
,129470634,93982,01/12/2022,07:15:00 a. m.,157223,l,CAMARTINZR,CONSUMO_OPH,296,11008023,,
,129470635,106777,01/12/2022,07:15:00 a. m.,16635.4,h,CAMARTINZR,TIEMPO,28.7,11008023,CR4120 CAMION REVOLVEDOR,
,129470632,52945,01/12/2022,07:20:00 a. m.,178212,l,CAMARTINZR,CONSUMO_OPH,225,16001656,CR3754 CAMION REVOLVEDOR,
,129505077,52979,01/12/2022,07:20:00 a. m.,220543,l,EDGRAMIREZR,CONSUMO_OPH,260,16001690,CR3897 CAMION REVOLVEDOR,
,129505078,107064,01/12/2022,07:20:00 a. m.,37013,h,EDGRAMIREZR,TIEMPO,30,16001690,CR3897 CAMION REVOLVEDOR,
,129470633,107952,01/12/2022,07:20:00 a. m.,30343,h,CAMARTINZR,TIEMPO,18,16001656,CR3754 CAMION REVOLVEDOR,
,129470353,94010,01/12/2022,07:30:00 a. m.,143116,l,ISERNA,CONSUMO_OPH,219,11008037,CR4160 CAMION REVOLVEDOR,
,129508050,94127,01/12/2022,07:30:00 a. m.,145164,l,JGFERNANDZ,CONSUMO_OPH,250,11008082,CR4099 CAMION REVOLVEDOR,
,129508051,104815,01/12/2022,07:30:00 a. m.,18057,h,JGFERNANDZ,TIEMPO,30,11008082,CR4099 CAMION REVOLVEDOR,
,129470354,106779,01/12/2022,07:30:00 a. m.,15759,h,ISERNA,TIEMPO,22.4,11008037,CR4160 CAMION REVOLVEDOR,
,129471793,128269,01/12/2022,07:35:00 a. m.,20421,l,EDGRAMIREZR,CONSUMO_OPH,230,16010614,CR5539 CAMION REVOLVEDOR,
,129471794,128271,01/12/2022,07:35:00 a. m.,2889.8,h,EDGRAMIREZR,TIEMPO,16.9,16010614,CR5539 CAMION REVOLVEDOR,
,129503305,94125,01/12/2022,07:35:43 a. m.,190798,l,LMSISNEROS,CONSUMO_OPH,249,11008081,CR4098 CAMION REVOLVEDOR,
,129503306,106680,01/12/2022,07:35:43 a. m.,22813,h,LMSISNEROS,TIEMPO,26,11008081,CR4098 CAMION REVOLVEDOR,
,129471361,116269,01/12/2022,07:40:37 a. m.,97749,l,AAVENDANO,CONSUMO_OPH,208,16007921,CR4480 CAMION REVOLVEDOR,
,129471362,116271,01/12/2022,07:40:37 a. m.,10731,h,AAVENDANO,TIEMPO,26,16007921,CR4480 CAMION REVOLVEDOR,
,129508357,128029,01/12/2022,07:42:21 a. m.,21803,l,JSRODRIGUEZN,CONSUMO_OPH,236,16010586,CR5475 CAMION REVOLVEDOR,
,129508358,128181,01/12/2022,07:42:21 a. m.,2889.1,h,JSRODRIGUEZN,TIEMPO,23.8,16010586,CR5475 CAMION REVOLVEDOR,
,129508061,53452,01/12/2022,07:44:00 a. m.,211068,l,JGFERNANDZ,CONSUMO_OPH,186,16001876,CR3513 CAMION REVOLVEDOR,
,129508062,106308,01/12/2022,07:44:00 a. m.,33615,h,JGFERNANDZ,TIEMPO,27,16001876,CR3513 CAMION REVOLVEDOR,
,129503307,94129,01/12/2022,07:48:45 a. m.,209110,l,LMSISNEROS,CONSUMO_OPH,162,11008083,CR4156 CAMION REVOLVEDOR,
,129503308,106202,01/12/2022,07:48:45 a. m.,20585.2,h,LMSISNEROS,TIEMPO,21,11008083,CR4156 CAMION REVOLVEDOR,
,129508351,128209,01/12/2022,07:50:10 a. m.,20421,l,JSRODRIGUEZN,CONSUMO_OPH,192,16010594,CR5519 CAMION REVOLVEDOR,
,129508352,128211,01/12/2022,07:50:10 a. m.,3021,h,JSRODRIGUEZN,TIEMPO,20.2,16010594,CR5519 CAMION REVOLVEDOR,
,129469918,118789,01/12/2022,08:07:47 a. m.,49529,l,JRCRUZMRT,CONSUMO_OPH,400,9000411,GN0224 GENERADORA,
,129469919,127696,01/12/2022,08:07:47 a. m.,13291,h,JRCRUZMRT,TIEMPO,23,9000411,GN0224 GENERADORA,
,129470200,119019,01/12/2022,08:09:10 a. m.,48034,l,JRCRUZMRT,CONSUMO_OPH,240,16008622,CR4826 CAMION REVOLVEDOR,
,129470201,119021,01/12/2022,08:09:10 a. m.,6599,h,JRCRUZMRT,TIEMPO,38,16008622,CR4826 CAMION REVOLVEDOR,
,129470202,116833,01/12/2022,08:09:51 a. m.,69401,l,JRCRUZMRT,CONSUMO_OPH,150,16008051,CR4593 CAMION REVOLVEDOR,
,129470203,116835,01/12/2022,08:09:51 a. m.,7675,h,JRCRUZMRT,TIEMPO,29,16008051,CR4593 CAMION REVOLVEDOR,
,129470630,54215,01/12/2022,08:15:00 a. m.,210433,l,CAMARTINZR,CONSUMO_OPH,278,16002194,CR3531 CAMION REVOLVEDOR,
,129470631,105574,01/12/2022,08:15:00 a. m.,27483,h,CAMARTINZR,TIEMPO,28,16002194,CR3531 CAMION REVOLVEDOR,
,129504884,51286,01/12/2022,08:26:35 a. m.,182521,l,RLGARCIAM,CONSUMO_OPH,200,16000848,CR2866 CAMION REVOLVEDOR,
,129504885,107284,01/12/2022,08:26:35 a. m.,20739,h,RLGARCIAM,TIEMPO,26,16000848,CR2866 CAMION REVOLVEDOR,
,129504888,52939,01/12/2022,08:29:34 a. m.,161071,l,RLGARCIAM,CONSUMO_OPH,137,16001650,CR3695 CAMION REVOLVEDOR,
,129504889,108142,01/12/2022,08:29:34 a. m.,29575,h,RLGARCIAM,TIEMPO,18,16001650,CR3695 CAMION REVOLVEDOR,
,129504890,51435,01/12/2022,08:30:37 a. m.,193881,l,RLGARCIAM,CONSUMO_OPH,297,16000961,CR3661 CAMION REVOLVEDOR,
,129504891,107029,01/12/2022,08:30:37 a. m.,27215,h,RLGARCIAM,TIEMPO,39,16000961,CR3661 CAMION REVOLVEDOR,
,129469861,120184,01/12/2022,08:31:26 a. m.,76481,l,MALDONADO,CONSUMO_OPH,91,16008914,CR5056 CAMION REVOLVEDOR,
,129469862,120186,01/12/2022,08:31:26 a. m.,11070,h,MALDONADO,TIEMPO,32,16008914,CR5056 CAMION REVOLVEDOR,
,129504892,52936,01/12/2022,08:31:38 a. m.,181656,l,RLGARCIAM,CONSUMO_OPH,207,16001647,CR3669 CAMION REVOLVEDOR,
,129504893,106796,01/12/2022,08:31:38 a. m.,28066.2,h,RLGARCIAM,TIEMPO,27,16001647,CR3669 CAMION REVOLVEDOR,
,129504894,110272,01/12/2022,08:32:57 a. m.,12222,l,RLGARCIAM,CONSUMO_OPH,140,9000175,CF9220,
,129504895,110273,01/12/2022,08:32:57 a. m.,7998,h,RLGARCIAM,TIEMPO,26,9000175,CF9220,
,129504896,53345,01/12/2022,08:33:42 a. m.,201668,l,RLGARCIAM,CONSUMO_OPH,164,16001820,CR2876 CAMION REVOLVEDOR,
,129504897,105839,01/12/2022,08:33:42 a. m.,34643,h,RLGARCIAM,TIEMPO,8.3,16001820,CR2876 CAMION REVOLVEDOR,
,129504898,51430,01/12/2022,08:34:52 a. m.,254664,l,RLGARCIAM,CONSUMO_OPH,325,16000956,CR3588 CAMION REVOLVEDOR,
,129504899,107028,01/12/2022,08:34:52 a. m.,36302.6,h,RLGARCIAM,TIEMPO,43,16000956,CR3588 CAMION REVOLVEDOR,
,129504910,52936,01/12/2022,08:36:21 a. m.,181732,l,RLGARCIAM,CONSUMO_OPH,76,16001647,CR3669 CAMION REVOLVEDOR,
,129504911,106796,01/12/2022,08:36:21 a. m.,28076.2,h,RLGARCIAM,TIEMPO,10,16001647,CR3669 CAMION REVOLVEDOR,
,129504912,51435,01/12/2022,08:37:12 a. m.,194005,l,RLGARCIAM,CONSUMO_OPH,124,16000961,CR3661 CAMION REVOLVEDOR,
,129504913,107029,01/12/2022,08:37:12 a. m.,27231,h,RLGARCIAM,TIEMPO,16,16000961,CR3661 CAMION REVOLVEDOR,
,129469863,54146,01/12/2022,08:39:17 a. m.,209169,l,MALDONADO,CONSUMO_OPH,221,11003596,CR3131 CAMION REVOLVEDOR,
,129469864,104680,01/12/2022,08:39:17 a. m.,25589.9,h,MALDONADO,TIEMPO,34,11003596,CR3131 CAMION REVOLVEDOR,
,129469865,51339,01/12/2022,08:40:02 a. m.,224400,l,MALDONADO,CONSUMO_OPH,207,11001529,CR3134 CAMION REVOLVEDOR,
,129469866,105169,01/12/2022,08:40:02 a. m.,37540.2,h,MALDONADO,TIEMPO,32,11001529,CR3134 CAMION REVOLVEDOR,
,129471363,118635,01/12/2022,08:40:04 a. m.,91153,l,AAVENDANO,CONSUMO_OPH,220,16008554,CR4741 CAMION REVOLVEDOR,
,129471364,118637,01/12/2022,08:40:04 a. m.,9918,h,AAVENDANO,TIEMPO,33,16008554,CR4741 CAMION REVOLVEDOR,
,129473285,112332,01/12/2022,08:40:14 a. m.,94194,l,AEUGENIO,CONSUMO_OPH,93,16007421,CR4363 CAMION REVOLVEDOR,
,129473286,112334,01/12/2022,08:40:14 a. m.,10824,h,AEUGENIO,TIEMPO,30,16007421,CR4363 CAMION REVOLVEDOR,
,129469867,120145,01/12/2022,08:41:56 a. m.,68817,l,MALDONADO,CONSUMO_OPH,100,16008901,CR5043 CAMION REVOLVEDOR,
,129469868,120147,01/12/2022,08:41:56 a. m.,9964,h,MALDONADO,TIEMPO,54,16008901,CR5043 CAMION REVOLVEDOR,
,129469869,120181,01/12/2022,08:50:06 a. m.,80380,l,MALDONADO,CONSUMO_OPH,108,16008913,CR5055 CAMION REVOLVEDOR,
,129470280,120183,01/12/2022,08:50:06 a. m.,11661,h,MALDONADO,TIEMPO,20,16008913,CR5055 CAMION REVOLVEDOR,
,129470281,54075,01/12/2022,08:51:04 a. m.,215449,l,MALDONADO,CONSUMO_OPH,200,16002108,CR2810 CAMION REVOLVEDOR,
,129470282,105426,01/12/2022,08:51:04 a. m.,35550,h,MALDONADO,TIEMPO,6,16002108,CR2810 CAMION REVOLVEDOR,
,129470283,54090,01/12/2022,08:52:31 a. m.,180320,l,MALDONADO,CONSUMO_OPH,79,16002123,CR2856 CAMION REVOLVEDOR,
,129470284,106132,01/12/2022,08:52:31 a. m.,29229,h,MALDONADO,TIEMPO,10,16002123,CR2856 CAMION REVOLVEDOR,
,129470285,52838,01/12/2022,08:53:21 a. m.,184393,l,MALDONADO,CONSUMO_OPH,181,16001572,CR2909 CAMION REVOLVEDOR,
,129470286,106792,01/12/2022,08:53:21 a. m.,50573,h,MALDONADO,TIEMPO,12,16001572,CR2909 CAMION REVOLVEDOR,
,129473262,117192,01/12/2022,08:57:36 a. m.,93189,l,JSCARRILLOP,CONSUMO_OPH,240,16008128,CR4634 CAMION REVOLVEDOR,
,129473263,117194,01/12/2022,08:57:36 a. m.,12299,h,JSCARRILLOP,TIEMPO,30,16008128,CR4634 CAMION REVOLVEDOR,
,129470355,54197,01/12/2022,09:00:00 a. m.,224457,l,ISERNA,CONSUMO_OPH,204,16002176,CR3447 CAMION REVOLVEDOR,
